artist,year,words,syllables,sentiment,ttr
Drake,2010,1792,446,-2.1,0.497340426
Drake,2010,2169,555,-2,0.509933775
Drake,2010,3963,1017,5.65,0.385390428
Drake,2010,3584,NA,3.35,0.325706595
Drake,2010,2424,614,0.4,0.489065606
Drake,2010,3390,835,2.2,0.473451327
Drake,2010,4066,1043,-4.75,0.389400922
Drake,2010,559,151,1.8,0.7
Drake,2010,1074,275,1.15,0.362445415
Drake,2010,3674,925,8.8,0.431906615
Drake,2010,967,233,1.1,0.47029703
Drake,2010,2484,639,2.3,0.369942197
Drake,2010,2888,720,-2.8,0.512820513
Drake,2010,2206,578,0.3,0.458422175
Drake,2010,2330,596,4.05,0.4958159
Drake,2010,3380,865,1.5,0.444130127
Drake,2010,991,250,1.3,0.25210084
Drake,2010,3765,927,2.35,0.369949495
Drake,2010,2447,607,-0.6,0.43960396
Drake,2010,2828,713,10.7,0.463373083
Drake,2010,2471,651,1.15,0.464705882
Drake,2010,1227,329,4.7,0.659836066
Drake,2011,2860,NA,-1,0.432343234
Drake,2011,1886,NA,-0.55,0.427536232
Drake,2011,2409,603,1.45,0.373225152
Drake,2011,1908,467,-0.05,0.442159383
Drake,2011,2216,NA,0.3,0.36965812
Drake,2011,2870,NA,3.2,0.354267311
Drake,2011,1948,520,-4.5,0.562189055
Drake,2011,3136,804,6.1,0.376722818
Drake,2011,2936,731,0.4,0.380487805
Drake,2011,3048,793,3.5,0.364885496
Drake,2011,3854,977,3.95,0.467866324
Drake,2011,2404,621,7.9,0.280769231
Drake,2011,1192,288,1.95,0.442231076
Drake,2011,1653,421,-0.85,0.247282609
Drake,2011,2969,726,4.55,0.447368421
Drake,2011,2980,747,-3.25,0.381342062
Drake,2011,3291,NA,-2.85,0.402315485
Drake,2011,2738,672,0.45,0.26984127
Drake,2011,3484,850,-0.3,0.448275862
Drake,2011,2194,546,-1.55,0.384158416
Drake,2011,2759,707,0.35,0.406196213
Drake,2013,3473,879,1,0.491947291
Drake,2013,2461,622,-5,0.445360825
Drake,2013,2421,599,0.45,0.290948276
Drake,2013,2532,647,2.05,0.3515625
Drake,2013,2060,493,0.4,0.356807512
Drake,2013,2555,661,-5.85,0.452868852
Drake,2013,3084,NA,0.25,0.473684211
Drake,2013,1528,388,1.25,0.185303514
Drake,2013,2111,546,2.1,0.506082725
Drake,2013,3128,797,-0.45,0.352664577
Drake,2013,2607,701,0.6,0.273927393
Drake,2013,2986,714,1.55,0.392282958
Drake,2013,4641,1167,6.45,0.465517241
Drake,2013,2172,525,-0.55,0.366013072
Drake,2013,4335,1082,4.2,0.405649718
Drake,2013,1498,367,-0.05,0.461538462
Drake,2015,1772,466,1.1,0.326633166
Drake,2015,2293,627,0.4,0.353909465
Drake,2015,1788,453,4.15,0.528610354
Drake,2015,2263,580,-3.05,0.443254818
Drake,2015,2606,685,-1.7,0.489757914
Drake,2015,1026,249,-0.35,0.396396396
Drake,2015,1957,497,-5.55,0.412322275
Drake,2015,2682,693,-4.55,0.481216458
Drake,2015,1848,439,-0.25,0.468571429
Drake,2015,1040,270,1,0.492610837
Drake,2015,4146,1037,0.45,0.427350427
Drake,2015,1646,410,0.5,0.418338109
Drake,2015,1861,483,-5.2,0.224299065
Drake,2015,2339,614,0,0.4
Drake,2015,3594,913,-0.25,0.397540984
