Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Laggard,American IPA,11.36,1.061,1.019,5.55,53.36,11.87,17.03,60,70,All Grain
Amarillo Amber,American IPA,20.82,1.061,1.011,6.56,52.18,7.74,17.03,60,50,Partial Mash
MG Citra IPA,American IPA,20.82,1.064,1.015,6.39,94.25,11.13,11.36,60,50,Partial Mash
SatanIPA,American IPA,15.14,1.053,1.012,5.39,99.09,10.55,18.93,60,50,All Grain
Citra Mosaic NEIPA,American IPA,21,1.061,1.017,5.82,88.86,5.86,28.5,60,70,All Grain
Citra Pounder IPA,American IPA,19.87,1.095,1.026,9.03,178.37,6.57,28.39,60,66,All Grain
Bakke Brygg White/Wit IPA 25 l,American IPA,25,1.063,1.011,6.78,69.77,6.74,30,60,70,BIAB
Amarillo & Mosaic goes together like peas & ...,American IPA,23,1.058,1.015,5.63,42.11,3.72,28.5,60,75,All Grain
Golden Promise NE IPA,American IPA,20.82,1.061,1.016,5.85,0,5.92,24.61,60,65,BIAB
Holmviks svidd gummi IPA,American IPA,50,1.067,1.011,7.3,71.08,6.94,58,60,75,All Grain
EYE PEE EH?,American IPA,20.82,1.071,1.016,7.27,78.35,7.81,28.39,60,75,BIAB
Grapefruit IPA,American IPA,20,1.058,1.011,6.15,48.89,4.81,9,60,35,extract
Broscience NEIPA,American IPA,20.82,1.061,1.014,6.36,36.17,5.83,24.61,60,75,All Grain
Grasshopper IPA,American IPA,18.93,1.064,1.015,6.42,58.64,8.26,15.14,60,50,BIAB
Bube's Centennial Session IPA,American IPA,378.54,1.052,1.01,5.47,89.91,4.31,454.25,60,75,All Grain
56 - Pale Ale-new Fridge,American IPA,24,1.05,1.009,5.37,31.55,5.84,28,60,73,All Grain
Hop Juice,American IPA,20.82,1.074,1.02,7.05,70.23,6.58,28.39,60,70,All Grain
Kraftkar,American IPA,25,1.078,1.021,7.38,86.09,10.43,30,60,75,All Grain
Mosaic,American IPA,11.4,1.059,1.01,6.42,69.1,7.19,15,60,75,BIAB
Gartner Moens IPA,American IPA,23,1.067,1.017,6.57,76.5,8.25,30,60,65,All Grain
Go To Clone 1,American IPA,39.75,1.05,1.009,5.43,59.19,3.47,53,60,72,All Grain
Son of Punkie IPA,American IPA,19,1.061,1.014,6.15,53.94,6.04,26.84,60,75,BIAB
Baptist Daughter,American IPA,20.82,1.063,1.015,6.27,66.14,6.88,28.39,60,70,All Grain
Sticky Nugs,American IPA,22.71,1.083,1.022,8.07,105.59,13.42,30.28,90,65,All Grain
Firestone Brick IPA,American IPA,18.93,1.058,1.015,5.65,94.64,6.42,24.61,60,58,All Grain
IPA de MYRIAM,American IPA,12,1.05,1.005,5.94,45.16,7.19,11,60,35,Partial Mash
HomeGrown (2017),American IPA,11.36,1.059,1.013,5.99,33.03,5.28,17.03,90,66,BIAB
ESB-IPA V2,American IPA,19.87,1.05,1.012,5.06,111.83,9.05,9.46,60,60,extract
Ghost White IPA,American IPA,20.82,1.054,1.008,5.94,47.4,5.77,24.61,60,68,All Grain
Citra Session IPA,American IPA,20.82,1.042,1.011,4.05,54.48,7.26,28.39,60,85,All Grain
Centennial IPA,American IPA,20,1.06,1.017,5.67,44.09,10.38,26,60,70,All Grain
Collab IPA,American IPA,11,1.051,1.009,5.54,45.08,4.51,14,60,66,BIAB
Smokey Mountain Jubilee,American IPA,20.82,1.074,1.019,7.16,73.01,12.89,24.61,60,78,All Grain
Hayburner IPA,American IPA,80,1.034,1.006,3.59,157.36,7.29,93.5,60,75,All Grain
Grapefruit IPU,American IPA,20.82,1.061,1.015,6.01,22.74,7.3,15.14,60,60,BIAB
Trinary Trip (Cosmic Ocean) NEIPA,American IPA,13,1.081,1.02,7.95,61.39,5.48,16,60,72,All Grain
Thomas's IPA,American IPA,18.93,1.048,1.009,5.1,73.06,10.15,22.71,60,70,All Grain
IPA 1/2 Brewcraft,American IPA,7.6,1.039,1.007,4.11,80.02,6.25,36.7,60,35,BIAB
Nugget nectar,American IPA,18.93,1.071,1.018,7.01,102.47,9.78,22.71,90,60,All Grain
Bad Dog Grapefruit IPA,American IPA,20.82,1.057,1.014,5.7,60.94,6.83,28.39,60,70,All Grain
Flagrant IPA,American IPA,20.82,1.076,1.017,7.65,104.51,8.61,26.5,60,75,BIAB
O4 God's Sake Who Did Roger Blow,American IPA,56.78,1.076,1.016,7.94,49.79,6.62,64.35,60,73,All Grain
Woodsman APA,American IPA,20.82,1.057,1.013,5.78,43.51,13.19,26.5,60,75,All Grain
Ozarks American IPA,American IPA,22.71,1.066,1.014,6.86,60.8,9.01,30.28,60,80,All Grain
Union Triangle IPA  Base,American IPA,37.85,1.06,1.012,6.42,68.37,6.52,41.64,60,40,extract
Vic secret / Galaxy IPA V2,American IPA,21,1.052,1.009,5.67,20.56,3.62,26,60,93,All Grain
Ipa,American IPA,20.82,1.059,1.017,5.62,94.18,7.57,11.36,60,35,extract
SMaSHing Melon,American IPA,3.79,1.063,1.012,6.66,57.68,8.77,6.62,60,75,All Grain
Ægir IPA Clone 50 L,American IPA,50,1.067,1.017,6.54,52.98,8.93,60,60,75,All Grain
Galaxy dipa,American IPA,24.61,1.074,1.016,7.66,48.76,5.01,28.39,60,55,All Grain
V Ipa,American IPA,22.71,1.08,1.023,7.39,19.06,8.13,32.18,60,71,BIAB
Just Because IPA,American IPA,43.53,1.055,1.01,5.9,45.31,7.75,51.1,60,70,All Grain
Heart IPA,American IPA,41.64,1.063,1.015,6.27,71.78,5.6,49.21,60,70,All Grain
EPA,American IPA,19,1.061,1.015,6.02,56.27,13.52,26,90,65,All Grain
HuelMelonEureka Pale Ale,American IPA,21,1.06,1.011,6.38,49.87,6.55,28.5,60,70,All Grain
Restekassa,American IPA,42,1.066,1.017,6.43,50.2,9.57,57,90,65,All Grain
#2 Sinbong I.P.A,American IPA,10,1.052,1.009,5.61,93.85,9.08,12,60,60,All Grain
Divers IPA,American IPA,18.93,1.058,1.011,6.14,50.73,5.88,22.71,60,70,All Grain
Summer IPA,American IPA,41.64,1.055,1.011,5.79,45.41,8.66,47.32,60,74,All Grain
DEATH CELEBRATION,American IPA,41.64,1.073,1.019,7.09,86.23,29.95,53,90,68,All Grain
IPA Eisenbahn,American IPA,20,1.064,1.012,6.81,75.87,17.56,28.5,60,75,All Grain
Stories from the Citra Plains,American IPA,20.82,1.065,1.014,6.7,31.3,9.66,28.39,60,65,BIAB
Awesome Recipe,American IPA,20.82,1.048,1.012,4.75,52.93,5.57,28.39,60,70,All Grain
Krokofant Breweries IPA Juice,American IPA,25,1.068,1.018,6.56,35.03,7.03,28,90,75,Partial Mash
Punk IPA Clone (J. Hall),American IPA,18.93,1.061,1.014,6.13,54.68,6.54,28.01,60,70,All Grain
Founder Inslired Double,American IPA,42.02,1.066,1.011,7.26,88.43,6.3,51.86,60,68,All Grain
Apollo Single Hop,American IPA,20.82,1.061,1.012,6.47,73.97,5.21,28.39,60,70,All Grain
Juicy Meridian IPA  (1 Gallon),American IPA,3.79,1.058,1.011,6.13,55.1,7.24,5.68,60,70,extract
NeIPA,American IPA,7,1.067,1.014,7,0,5.56,10,60,65,BIAB
PSL IPA,American IPA,21.58,1.064,1.023,5.45,0,10.98,26.5,60,68,All Grain
American IPA,American IPA,18.93,1.073,1.017,7.74,77.56,5.89,25.36,60,70,All Grain
Moderation Downunder,American IPA,21,1.065,1.015,6.58,54.43,7.97,27,90,75,All Grain
Dank IPA,American IPA,23.09,1.06,1.015,6.16,28.64,6.11,24.61,60,75,All Grain
'Simple' IPA,American IPA,20.82,1.09,1.022,8.86,64.13,11.57,28.39,60,84,All Grain
American Cream IPA,American IPA,37.85,1.052,1.009,5.6,85.51,5.63,41.64,60,75,All Grain
Siste utendørsIPA,American IPA,21,1.062,1.014,6.32,86.8,6.92,26,60,71,All Grain
The dragon awakes (5),American IPA,21,1.055,1.013,5.48,65.83,4.13,28.5,60,70,All Grain
Summer,American IPA,25,1.057,1.01,6.22,55.01,4.05,30,60,70,All Grain
9º - BRASSAGEM,American IPA,20,1.056,1.011,5.93,54.63,4.28,14,60,90,BIAB
Fire On The Mountain IPA,American IPA,37.85,1.08,1.017,8.27,42.8,9.05,28.39,60,90,All Grain
The Apollo Comet-h,American IPA,17.03,1.082,1.019,8.23,96.89,5.85,11.36,60,35,Partial Mash
#027 PINKMAGGIT Brewing Geocentric Theory...,American IPA,9,1.064,1.013,6.74,61.67,5.77,12,60,71,All Grain
Randam  IPA,American IPA,20.82,1.064,1.016,6.29,109.99,5.53,28.39,60,70,All Grain
My New Dance Move,American IPA,20.82,1.068,1.013,7.19,107.79,11.85,26.5,60,70,All Grain
Too expensive ipa,American IPA,21,1.057,1.008,6.42,93.54,4.78,14,60,35,Partial Mash
Thrillho Kiwi,American IPA,18.93,1.062,1.012,6.61,55.49,6.23,28.39,60,71,All Grain
Bakke Brygg American IPA 50 l,American IPA,50,1.065,1.012,6.85,66.71,6.73,58,60,70,All Grain
Hoppin Hunter,American IPA,37.85,1.06,1.013,6.24,64.22,6.24,45.42,60,75,All Grain
Cake Jumper IPA,American IPA,21,1.062,1.012,6.63,38.02,11.27,10,60,35,extract
60 min fresh hop & honey,American IPA,24.61,1.061,1.012,6.35,74.36,9.65,28.39,60,65,All Grain
West Coast IPA - Boss,American IPA,22,1.062,1.012,6.55,59.65,4,26,60,70,All Grain
Shawn's IPA,American IPA,20.82,1.076,1.016,7.98,107.26,10.94,22.71,60,50,Partial Mash
Bells's Two Hearted IPA Clone,American IPA,25,1.067,1.014,6.95,55.08,5.92,28,60,75,BIAB
Mosaic Clone,American IPA,20.82,1.065,1.015,6.53,78,4.95,28.39,90,75,All Grain
MCC IPA,American IPA,20.82,1.057,1.014,5.56,55.57,4.19,30.28,60,78,BIAB
Test blonde ipa,American IPA,20.82,1.057,1.013,5.85,55,3.47,11.36,60,35,extract
One More IPA,American IPA,41.64,1.052,1.011,5.44,50.34,7.12,49.21,60,75,All Grain
The Wooden Witch (Oat meal Pale),American IPA,30.28,1.064,1.011,6.91,40.12,8.52,37.85,60,80,All Grain
El Dorado,American IPA,20.82,1.072,1.019,6.9,56.65,3.98,18.93,60,35,extract
NE IPA,American IPA,22.71,1.065,1.019,6.06,112.07,4.08,28.39,60,70,BIAB
Interdite 60 Clone TRY1,American IPA,22.71,1.056,1.013,5.61,66.4,6.45,24.98,60,75,All Grain
ZDI Clone,American IPA,29,1.053,1.011,5.58,48.47,7.84,32,60,75,All Grain
Hoppoptamus,American IPA,20.82,1.059,1.013,5.97,172.22,4.05,24.61,60,70,All Grain
Just Another IPA,American IPA,17.98,1.088,1.024,8.41,89.04,8.38,24.42,90,63,All Grain
Challenger IPA,American IPA,23,1.059,1.016,5.54,63.55,7.08,28.99,60,70,All Grain
Donald Duck OJ,American IPA,18.93,1.06,1.014,6.08,72.76,4.32,26.5,60,65,BIAB
HOVERBOARD 3 NEIPA (MELON HELMET 1),American IPA,24.61,1.052,1.013,5.08,71.8,4.81,28.39,60,62,All Grain
5047 SHAle,American IPA,20,1.052,1.01,5.58,44.35,10.56,11,60,35,extract
Stonefruit IPA,American IPA,41.64,1.07,1.013,7.5,73.92,5.42,49.21,60,82,All Grain
SD Session IPA,American IPA,18.93,1.04,1.008,4.17,84.76,3.15,26.5,60,65,BIAB
Strange Itzel,American IPA,1050,1.062,1.011,6.76,30.32,4.75,1150,60,69,All Grain
G3 pale ale,American IPA,21,1.061,1.012,6.4,60.72,9.86,26,60,75,All Grain
West Yorkshire IPA,American IPA,16.5,1.058,1.012,6.01,62.06,9.56,22,60,78,All Grain
Touski2,American IPA,18.93,1.071,1.017,7.12,61.57,7.46,26.5,60,70,All Grain
Juicy Neipa,American IPA,20.82,1.06,1.015,5.89,49.64,7.07,24.61,60,70,All Grain
Blind pig,American IPA,3.79,1.066,1.015,6.62,75.02,6.44,5.68,60,60,All Grain
First Promise IPA,American IPA,18.93,1.057,1.015,5.48,71.1,3.99,26.5,60,70,All Grain
Ray IPA,American IPA,18,1.063,1.011,6.9,51.86,7.72,24,60,70,All Grain
Amarillo Left Overs IPA (1 Gallon),American IPA,3.79,1.056,1.012,5.87,68.03,15.42,5.68,60,35,Partial Mash
Sonoma Phoenix,American IPA,20.82,1.078,1.024,7.09,140.42,8.15,28.39,60,70,All Grain
Sørvestkyst,American IPA,25,1.068,1.017,6.67,0,14.95,30,90,67,All Grain
Half Frazy,American IPA,26.5,1.063,1.016,6.22,45.34,7.92,35.02,60,72,All Grain
Smooth Operator Double IPA,American IPA,24.61,1.085,1.021,8.44,43.12,7.36,27.75,60,75,All Grain
Mid NEIPA,American IPA,28,1.036,1.01,3.45,28.11,5.46,33,90,72,BIAB
Toilet Cleaner,American IPA,25,1.091,1.017,10.62,30.18,5.1,28.5,60,75,All Grain
Pale Ale,American IPA,20.82,1.064,1.011,6.9,61.13,7.31,24.61,60,80,All Grain
Fifty Fifty,American IPA,20.82,1.066,1.018,6.33,32.28,6.99,28.39,60,75,BIAB
Swill Belly IPA,American IPA,5,1.051,1.01,5.39,89.5,2.67,7,60,80,BIAB
Stoneskin Pale Ale,American IPA,18.93,1.058,1.014,5.86,69.77,10.75,11.36,60,25,extract
Hazey Dayz,American IPA,11,1.068,1.012,7.37,61.97,4.89,13,60,75,BIAB
Tu 2 row,American IPA,21,1.051,1.013,5.05,0,11.33,28.5,60,35,BIAB
Whole Lotta Nelson,American IPA,26.5,1.062,1.015,6.26,75.49,5.69,33.69,60,75,BIAB
F.U. IPA,American IPA,18.93,1.06,1.018,5.52,120.4,4.69,11.36,60,35,extract
Non-Sparking IPA,American IPA,18.93,1.06,1.014,6.05,115.32,9.41,28.39,60,75,All Grain
El Doradillo,American IPA,20.82,1.035,1.008,3.51,20.9,5.06,26.5,60,70,All Grain
Chocolate Citrus IPA,American IPA,18.93,1.056,1.013,5.62,79.89,32.86,26.5,60,70,BIAB
Rocca,American IPA,21,1.045,1.009,4.77,23.89,5.1,25,60,70,All Grain
C-Hop Top IPA,American IPA,79.99,1.056,1.012,5.75,48.76,5.86,87.1,60,80,All Grain
MBIPA,American IPA,28,1.065,1.016,6.45,0,5.12,30,60,70,All Grain
Out Fishing IPL,American IPA,45.42,1.054,1.009,5.95,30.82,4.66,56.78,60,70,All Grain
1-UP - NE IPA,American IPA,22.71,1.052,1.013,5.17,170.09,5.08,30.28,60,67,All Grain
Marginal IPA,American IPA,20,1.067,1.013,7.16,61.22,8.78,35,60,75,All Grain
Session IPA,American IPA,18.93,1.043,1.008,4.56,56.62,7.79,11.36,60,35,extract
Ghost Fuckin IPA,American IPA,35,1.056,1.011,5.91,86.46,12.32,40,60,65,BIAB
M.I. Citra IPA,American IPA,20.82,1.052,1.009,5.65,49.37,7.11,28.39,60,62,BIAB
West-coast IPA,American IPA,1173.48,1.052,1.01,5.55,51.38,7.28,1358.96,60,82,All Grain
Impasse BC - Festive IPA,American IPA,18,1.06,1.015,5.86,81.55,7.03,25,60,75,BIAB
SP 79 #3,American IPA,41.64,1.06,1.012,6.28,90.11,10.36,54.89,90,68,All Grain
Lunch Clone,American IPA,22.71,1.068,1.013,7.22,84.58,8.52,28.39,60,70,All Grain
Elvis has left the building,American IPA,23,1.061,1.012,6.51,60.89,8.74,28,60,75,All Grain
Imperial IPA,American IPA,22.71,1.09,1.023,8.76,154.67,26.52,30.28,60,70,BIAB
East Coaster,American IPA,121.13,1.054,1.014,5.32,50.5,6.01,140.06,60,70,BIAB
Green Creek Hazy IPA,American IPA,20.82,1.062,1.017,5.95,39.16,11.07,23.85,60,35,extract
Quantum of Citra,American IPA,20.82,1.083,1.018,8.6,53.9,5.12,28.39,60,70,All Grain
Session IPA,American IPA,18.93,1.044,1.008,4.78,46.03,6.52,24.61,60,75,All Grain
Back home pale ale,American IPA,24.61,1.048,1.013,4.63,48.29,7.34,34.07,90,68,All Grain
Aprihop,American IPA,39.75,1.068,1.019,6.48,63.62,11.99,39.75,60,70,All Grain
Swish,American IPA,18.93,1.075,1.017,7.55,152.46,5.9,26.5,60,70,All Grain
Milkshake IPA,American IPA,21,1.074,1.027,6.16,79.59,16.58,28.5,60,80,BIAB
13 ocak,American IPA,13,1.059,1.011,6.33,40.28,9.49,19,60,45.5,All Grain
American IPA bs,American IPA,25,1.062,1.014,6.27,79.36,8.54,28,90,75,All Grain
Limesicle IPA,American IPA,20.82,1.08,1.029,6.7,20.14,4.85,28.39,60,65,BIAB
Hopped Scot,American IPA,9.46,1.062,1.014,6.27,55.97,16.73,13.25,60,75,All Grain
Grapefruit IPA,American IPA,20.82,1.074,1.02,7.07,79.01,7.72,11.36,60,75,extract
Hoppialis,American IPA,18.93,1.083,1.021,8.15,117.69,4.55,24.61,60,85,All Grain
NE IPA,American IPA,22.71,1.067,1.017,6.52,18.77,4.03,28.39,60,80,All Grain
Another Hazy IPA,American IPA,7.57,1.069,1.02,6.4,36.65,10.29,11.36,60,65,All Grain
Remembrance IPA,American IPA,19.31,1.058,1.01,6.3,58.02,3.76,23.66,90,72,All Grain
NE IPA,American IPA,35.96,1.087,1.024,8.36,18.3,6.62,45.42,60,78,All Grain
IPA 1.1,American IPA,21,1.058,1.011,6.17,54.55,10.38,11,60,60,Partial Mash
Undead Dirt,American IPA,20.82,1.066,1.022,5.83,57.81,9.25,27.63,60,70,All Grain
Extract IPA,American IPA,20,1.058,1.011,6.2,58.83,8.79,15,60,35,extract
12. NEIPA,American IPA,30,1.061,1.015,6.12,35.19,6.28,38.5,60,65,All Grain
Grapefruit Pulpin',American IPA,18.93,1.066,1.018,6.31,36.19,7.5,9.46,60,35,extract
Sinapsa Smash,American IPA,30,1.03,1.008,2.99,50.51,4.57,40,60,35,All Grain
Super Nice Day IPA,American IPA,18.93,1.066,1.011,7.2,175.21,10.87,15.14,60,35,Partial Mash
New England IPA,American IPA,18.93,1.081,1.023,7.6,75.64,3.85,13.25,60,72,Partial Mash
MRT_201709_TWOHEARTED,American IPA,17,1.064,1.016,6.29,66.34,5.59,24.6,60,70,All Grain
Angel Feathers,American IPA,416.4,1.077,1.018,7.77,73.07,5.3,435.32,90,65,All Grain
Ella Session IPA,American IPA,151.42,1.049,1.011,4.93,47.75,7.06,170.34,60,75,All Grain
American Ipa,American IPA,1000,1.054,1.012,5.44,59.82,5.48,1200,90,75,All Grain
Bloody IPA,American IPA,28,1.064,1.011,6.94,71.15,6.75,31,60,78,All Grain
Citra on Sale 2.0,American IPA,66.24,1.056,1.015,5.33,78.47,4.76,30.28,60,75,All Grain
West Coast IPA,American IPA,20.82,1.057,1.01,6.16,47.7,6.34,28.39,90,75,All Grain
Hazy Apricot IPA,American IPA,24.61,1.052,1.013,5.11,45.74,3.51,28.39,60,71,All Grain
New Zealand IPA,American IPA,41.64,1.069,1.013,7.32,59.11,4.35,53,60,76,All Grain
Tiny the Welder,American IPA,22.71,1.086,1.015,9.29,170.48,14.51,18.93,60,60,extract
Bube's El Dorado IPA,American IPA,340.69,1.073,1.014,7.79,72.2,7.62,416.4,60,75,All Grain
Slave Labour IPA,American IPA,22,1.055,1.011,5.9,55.98,7.84,28.5,60,70,All Grain
Union Jack Clone,American IPA,11.36,1.066,1.013,6.94,82.99,5.4,14.38,60,79,BIAB
Hopwolf,American IPA,9.6,1.082,1.021,7.98,74.61,6.8,12,60,70,extract
Zombie Serum,American IPA,22.71,1.062,1.016,6,59.16,8.41,26.5,60,70,All Grain
Barnesfest Best,American IPA,40,1.066,1.016,6.53,41.48,11.37,35,60,70,All Grain
Fresh Squished IPA,American IPA,21.2,1.056,1.011,5.92,85.82,10.16,30.28,60,60,All Grain
LaBrew Day 2017 (West Coast IPA w/Apricots)...,American IPA,37.85,1.068,1.017,6.66,73.96,6.81,49.21,60,75,All Grain
Amber Aley,American IPA,20.82,1.07,1.016,7.16,51,10.34,28.39,60,75,All Grain
Grapefrukt-ipa partygyle 1,American IPA,17,1.051,1.01,5.42,64.54,7.82,19,90,30,All Grain
NE IPA Test 1,American IPA,11.36,1.065,1.016,6.35,36.13,10.02,9.46,60,65,extract
Session IPA,American IPA,23,1.042,1.007,4.63,64.33,3.51,28,60,70,All Grain
Dan's Cosmic Photo Juice IPA,American IPA,20.82,1.071,1.016,7.22,51.65,6.23,25.74,60,70,All Grain
Thanksgiving in Amish Country,American IPA,19.42,1.069,1.016,7.02,99.3,5.86,13.25,60,45,extract
Humlemus,American IPA,22,1.056,1.009,6.15,68.78,3.98,32,60,75,BIAB
Fantasy Workshop,American IPA,22,1.059,1.012,6.16,87.37,7.89,28.5,60,70,BIAB
Wha' Hoppen 2,American IPA,20.82,1.042,1.01,4.19,69.11,6.95,26.5,60,75,BIAB
Dirty terp,American IPA,18.93,1.053,1.014,5.13,60.19,4.32,11.36,60,35,extract
Matt's NEIPA #3,American IPA,15.14,1.077,1.02,7.4,52.35,5.17,15.14,90,75,BIAB
Simcoe,American IPA,21,1.06,1.01,6.62,19.75,9.1,28.5,60,60,BIAB
Nut SAC IPA,American IPA,21,1.061,1.01,6.63,73.39,10.66,28.5,60,70,BIAB
Awesome Recipe,American IPA,21,1.059,1.01,6.35,0,9.61,28.5,60,35,All Grain
THMo - IPA,American IPA,19.87,1.052,1.015,4.88,64.12,4.16,26.5,60,50,Partial Mash
Stone City IPA,American IPA,41.64,1.06,1.016,5.7,78.73,6.88,45.42,60,70,All Grain
Lemongrass IPA,American IPA,20.82,1.059,1.012,6.13,43.86,6.39,26.5,60,70,All Grain
Haze City,American IPA,20.82,1.075,1.022,6.97,43.4,6.64,25.36,60,70,BIAB
Stones light,American IPA,23,1.056,1.015,5.34,80.45,9.89,28.5,60,75,All Grain
Welcome Home (SMaSH),American IPA,11.36,1.057,1.014,5.59,49.48,7.85,17.03,60,50,All Grain
Two Hearted Ale Replica,American IPA,9.46,1.057,1.014,5.66,55.69,5.71,5.68,60,35,extract
Coltraennial IPA,American IPA,41.64,1.064,1.015,6.69,54.8,9.88,47.32,60,72,All Grain
Experimental NEIPA,American IPA,20.82,1.064,1.018,5.99,10.03,6.54,24.61,60,70,All Grain
Anza IPA,American IPA,23,1.056,1.01,6.07,47.53,5.69,28.5,60,75,All Grain
Wheat IPA,American IPA,20.82,1.06,1.014,6.04,149.12,4.31,28.39,60,75,All Grain
Brewers Bout IPA I,American IPA,20.82,1.065,1.016,6.38,92.15,6.52,26.5,60,75,All Grain
La 777,American IPA,20,1.106,1.02,11.26,75.87,25.3,28.5,60,65,All Grain
Chinook IPA,American IPA,20.82,1.048,1.009,5.17,51.59,6.78,11.36,60,35,extract
The OG house IPA 3,American IPA,20.82,1.069,1.018,6.67,37.63,5.31,27.44,60,70,All Grain
Rushmore IPA,American IPA,20.82,1.058,1.014,5.82,90.53,8.83,26.5,60,65,All Grain
Hazy ipa,American IPA,20.82,1.087,1.022,8.49,25.01,7.65,28.39,60,70,All Grain
CryoHopped NE IPA,American IPA,20.82,1.071,1.018,6.99,28.68,4.52,31.34,90,76,BIAB
Vermont IPA,American IPA,20.82,1.064,1.012,6.76,112.02,6.14,30.28,60,70,All Grain
CItra Single Hop IPA,American IPA,20,1.056,1.011,5.97,64.18,8.82,14,60,40,extract
NEIPA,American IPA,80,1.058,1.011,6.08,0,5.66,95,90,75,All Grain
Florida IPA,American IPA,20.82,1.067,1.02,6.23,72.86,4.89,28.39,60,68,BIAB
Ameri-Otter IPA,American IPA,15.14,1.057,1.012,5.93,70.15,9.59,11.36,90,45,All Grain
IPA,American IPA,21,1.056,1.011,5.91,45.68,7.88,7,60,35,extract
Ruthless Rye (inspired by the Electric Brewe...,American IPA,22,1.062,1.011,6.88,62.58,12.49,25.5,60,70,All Grain
Oatmeal/Wheat IPA #4,American IPA,22.71,1.066,1.013,6.92,72.7,6.07,27.44,60,77,All Grain
The Tragically Hopped,American IPA,17,1.061,1.016,5.97,82.21,8.72,22.45,60,65,BIAB
Primeira Delas,American IPA,25,1.063,1.015,6.35,55.19,6.42,35.5,60,65,All Grain
Fuggle Rock IPA,American IPA,20.82,1.064,1.014,6.55,82.67,9.75,28.39,60,75,BIAB
Sunday IPA,American IPA,20.82,1.06,1.015,5.8,72.26,9.5,28.39,60,70,All Grain
John Citra,American IPA,20.82,1.065,1.021,5.76,64.94,9.66,11.36,60,35,Partial Mash
NZ NEIPA,American IPA,22.71,1.056,1.011,5.88,65.23,5.77,28.39,60,70,All Grain
BIAB NEIPA,American IPA,11.36,1.059,1.014,5.93,20.07,5.59,15.14,60,60,Partial Mash
Second Coming,American IPA,18.93,1.076,1.014,8.11,43.01,8.53,28.39,60,70,BIAB
Zombie IPA,American IPA,25,1.061,1.015,6.01,62.13,8.59,28.8,60,78,All Grain
Late Summer Light IPA,American IPA,53,1.058,1.011,6.25,53.29,4.55,60.57,60,70,All Grain
Sick Day IPA,American IPA,11.36,1.061,1.013,6.29,36.34,4.06,17.03,60,75,All Grain
Gateway Addictive IPA,American IPA,25,1.063,1.018,5.99,31.87,4.18,28.5,90,75,All Grain
Signatur TJ nr 5,American IPA,14,1.064,1.015,6.35,75.15,5.62,17,60,66,BIAB
VIP,American IPA,22.71,1.071,1.013,7.53,81.87,4.71,15.14,60,35,extract
Needs ID,American IPA,22.71,1.053,1.01,5.63,53.23,3.84,11.36,60,35,extract
Green Bullet Single Hop,American IPA,20.82,1.066,1.016,6.47,127.32,6.87,24.61,60,72,All Grain
Juice Bomb Cyclone,American IPA,20.82,1.059,1.013,6.08,74.74,5.64,25.36,60,75,All Grain
Best double NE IPA,American IPA,20.82,1.083,1.021,8.14,97.94,6.8,32.18,60,70,All Grain
IPA,American IPA,41.64,1.08,1.018,8.22,67.28,7.42,56.78,60,75,All Grain
BIR - AmIPA,American IPA,49,1.057,1.01,6.21,60.18,11.25,63,90,66,All Grain
BDT 220 N.E. I.P.A.,American IPA,435.32,1.066,1.02,6.07,52.89,6.06,526.97,60,85,All Grain
RyePA,American IPA,21,1.048,1.009,5.24,55.39,6.41,26,60,80,BIAB
Cascadian Dark Ale,American IPA,41.64,1.065,1.01,7.26,81.13,32.67,53,60,75,All Grain
Bald Eagle Mosaic IPA,American IPA,18.93,1.072,1.017,7.21,92.8,9.99,13.25,60,35,extract
Kiwi vs. Aussie IPA,American IPA,20.82,1.068,1.013,7.25,91.04,5.38,13.25,60,55,Partial Mash
Aud IPA,American IPA,21,1.061,1.015,6.05,35.43,9.33,26,60,72,All Grain
Lawson's Sip of Sunshine Clone,American IPA,20.82,1.076,1.012,8.35,182.52,6.77,32.18,60,70,All Grain
Terrier IPA,American IPA,18.93,1.056,1.013,5.68,62.46,5.9,9.46,60,35,extract
Tropical Haze NE IPA,American IPA,20.82,1.069,1.014,7.17,41.5,4.89,26.5,60,75,BIAB
Fruitside 1.0,American IPA,950,1.063,1.011,6.81,82.84,4.09,1000,60,85,All Grain
DK IPA (Braumeister 20L),American IPA,21,1.067,1.011,7.35,59.42,6.97,25,60,70,BIAB
Hopped and Cooked,American IPA,16.09,1.06,1.016,5.79,68.18,4.58,19.87,60,68,All Grain
Frontmaniacal IPA,American IPA,20.82,1.081,1.02,7.91,250.56,11.15,28.39,60,70,All Grain
3-Way IPA,American IPA,20.82,1.071,1.016,7.18,95.25,8.07,24.61,60,65,All Grain
Loose Moon Man Clone,American IPA,21,1.068,1.013,7.14,45.03,7.6,28.5,60,70,All Grain
Neipa,American IPA,20.82,1.07,1.018,6.84,64.22,8.67,27.25,60,70,All Grain
Casey's IPA,American IPA,20.82,1.057,1.014,5.72,62.96,3.37,28.39,60,85,All Grain
Rye IPA but the Gravity is wrong,American IPA,20.82,1.036,1.009,3.6,82.24,17.07,11.36,60,35,Partial Mash
Kurs 2009,American IPA,25,1.069,1.019,6.54,78.63,8.24,28,60,75,All Grain
