Name,Style,Size(L),OG,FG,ABV,IBU,Color,BoilSize,BoilTime,Efficiency,BrewMethod
Aegir IPA clone,American IPA,23,1.066,1.017,6.4,50.29,7.76,25,60,70,BIAB
West cost I.P.A,American IPA,18.93,1.066,1.016,6.46,0,5.78,18.93,60,75,All Grain
30 min IPA,American IPA,128.7,1.068,1.009,7.74,48.12,6.73,143.85,90,70,All Grain
Blazing Sun IPA,American IPA,20.82,1.072,1.021,6.64,112.05,8.39,11.36,60,35,Partial Mash
Kama Citra Mango IPA,American IPA,20.82,1.048,1.009,5.11,0,7.35,28.39,60,72,All Grain
Summit IPA,American IPA,20.82,1.06,1.011,6.34,209.4,5.33,28.39,60,70,All Grain
Grønne Gull - BRBKN var,American IPA,20,1.063,1.012,6.66,79.42,10.76,30,60,65,All Grain
Tropical IPA,American IPA,20.82,1.062,1.014,6.42,70.5,8.07,26.88,60,78,All Grain
Hopfenmeister,American IPA,20,1.061,1.01,6.6,38.97,5.56,25.6,60,75,All Grain
471 Small Batch,American IPA,18.93,1.101,1.03,9.32,100.42,10.91,15.14,60,70,Partial Mash
THHB New England IPA NEIPA,American IPA,20.82,1.065,1.017,6.29,56.97,5.4,28.39,60,65,All Grain
RyePA,American IPA,18.93,1.074,1.021,7,61.53,7.49,11.36,60,35,extract
Big Black I-Porter-A,American IPA,19.87,1.087,1.021,8.62,67.75,34.89,23.66,60,85,All Grain
Best Friend Bob DIPA,American IPA,20.82,1.077,1.016,8.01,52.12,5.16,25.55,60,65,All Grain
Kiwi IPA,American IPA,40,1.062,1.011,6.61,65.17,10.72,50,60,45,All Grain
Blue State Red,American IPA,18.93,1.074,1.017,7.38,48.66,15.23,25.02,60,70,All Grain
One Hop Open Sleigh,American IPA,20.82,1.062,1.015,6.09,62.43,10.5,26.5,60,65,All Grain
Zombie Dust clone,American IPA,11.36,1.079,1.025,7,47.65,9.85,15.14,60,71,All Grain
A6 Lagunitas IPA Clone,American IPA,20.82,1.059,1.014,6.01,23.63,11.8,22.71,60,35,Partial Mash
Husker Red IPA,American IPA,20.82,1.053,1.012,5.42,36.97,12.52,26.5,60,75,All Grain
Crispy Armadillo IPA,American IPA,475,1.067,1.017,6.58,111.03,6.61,490,90,75,All Grain
