Phone,Year,Sex,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,Facebook,Twitter,Computer,SocialMedia,Class,Term
1179,1,M,67,175,No,right,3,2,28,7,3.43,12,No,Yes,6,7243,Academy,0,No,56,200,Yes,Mac,Instagram,2,Spring19
6582,3,M,72,175,Yes,left,1,2,25,12,3.01,3,No,No,6,3872,Nobel,0,No,78,261,No,Mac,Facebook,2,Spring19
8085,4,M,74,160,No,right,1,2,10,24,3.2,6,No,No,10,0,Nobel,2,No,81,300,No,PC,Instagram,2,Spring19
2595,2,M,72,160,No,right,3,1,70,5,3,30,No,Yes,4,3210,Nobel,0,No,57,2226,No,PC,Instagram,2,Spring19
4822,1,F,65,155,No,right,2,1,30,9,3.11,10,No,Yes,6,1726,Nobel,2,Yes,72,400,Yes,Mac,Snapchat,2,Spring19
149,1,M,65,163,No,right,4,1,20,22,3.89,7,No,No,14,1719,Nobel,0,No,70,1000,Yes,Mac,Instagram,2,Spring19
557,1,M,68,160,No,right,1,2,50,26,2.8,2,No,No,12,3624,Olympic,0,No,81,600,Yes,Mac,Instagram,2,Spring19
8518,1,M,75,175,No,left,2,1,20,7,3.3,15,No,Yes,5,2323,Olympic,0,No,65,0,Yes,Mac,Instagram,2,Spring19
6684,1,M,72,194,No,right,1,2,24,36,3.7,14,No,Yes,3,3629,Nobel,0,No,65,0,No,Mac,Instagram,2,Spring19
2622,1,M,72,185,No,right,3,2,10,0.3,3.4,10,No,Yes,20,1111,Olympic,0,No,72,250,Yes,Mac,Instagram,2,Spring19
4382,1,M,72,195,No,right,2,2,23,6.5,3.4,10,No,Yes,10,3033,Nobel,0,No,74,500,Yes,Mac,Twitter,2,Spring19
8232,1,M,70,155,No,right,3,2,10,3,3.75,15,No,Yes,15,5011,Olympic,0,No,38,NA,No,Mac,Instagram,2,Spring19
7136,1,F,64,132,Yes,right,1,1,20,27,3.35,2,No,No,10,9417,Nobel,2,No,97,244,No,PC,Instagram,2,Spring19
6360,1,F,66,150,No,right,1,2,130,6,3.3,6,No,No,10,2175,Nobel,2,Yes,43,250,Yes,PC,Instagram,2,Spring19
