Phone,Year,Gender,Hgt,Wgt,Smoke,Hand,Sibs,Birth,Haircut,Travel,GPA,Exercise,Greek,Sport,TV,Random,Award,Pierces,Tattoo,Pulse,SocialMedia_Facebook,SocialMedia_Twitter,Computer,SocialMedia_Favorite,Class
3332,1,M,72,159,No,right,2,2,23,3.5,,15,No,Yes,2,4589,Olympic,0,No,45,500,No,PC,Snapchat,5
6709,3,F,64,120,No,right,2,2,25,3,3.62,1,Planning,No,4,4356,Nobel,2,No,98,200,Yes,Mac,TikTok,5
2796,2,F,62,117,No,right,1,2,55,6,3.65,10,Planning,Yes,4,4854,Olympic,6,No,,,No,Mac,Snapchat,5
4879,1,F,,130,Yes,right,0,1,0,19,,0,No,No,3,4798,Nobel,4,No,,0,Yes,Mac,TikTok,6
9369,2,M,71,140,No,right,2,1,40,7,3.51,15,No,Yes,30,5252,Nobel,0,No,72,20,Yes,Mac,Twitter,5
4685,1,F,60,120,No,right,2,2,20,6,,20,No,No,5,146,Olympic,4,No,,0,No,Mac,Snapchat,6
2287,2,F,70,130,Yes,right,1,2,100,4,3.6,7,No,Yes,15,8767,Nobel,6,Yes,64,150,No,PC,Snapchat,5
8534,2,F,64,160,No,right,2,3,75,0,3.2,6,No,No,10,4182,Nobel,9,Yes,84,398,Yes,Mac,Facebook,5
8726,2,F,68,180,No,right,1,1,0,33,3.78,5,No,No,3,1738,Nobel,2,No,,0,Yes,PC,Snapchat,5
14,2,F,62,118,No,right,2,2,0,3,3.9,3,No,No,3,3865,Nobel,2,No,78,50,Yes,PC,Snapchat,5
3973,1,M,72,243,No,right,4,4,15,5.5,,8,No,Yes,13,5555,Olympic,0,No,41,0,Yes,PC,Snapchat,5
6295,2,M,71,160,No,right,0,1,7,1.5,3.75,10,No,No,5,824,Nobel,0,No,50,0,No,Mac,Snapchat,5
1164,1,M,72,265,No,right,2,3,26,6,,12,No,Yes,7,1457,Nobel,0,No,34,0,Yes,Mac,Snapchat,5
611,3,F,64,127,Yes,right,2,3,15,6,3.5,10,No,No,1,8624,Olympic,9,No,68,400,No,Mac,Instagram,5
3600,2,F,69,135,No,right,1,2,30,3.5,2.9,10,No,Yes,4,4279,Olympic,3,Yes,79,20,No,Mac,Snapchat,5
4481,2,M,71,145,No,left,3,2,20,2.25,,8,No,Yes,2,2971,Olympic,0,No,85,0,No,Mac,Instagram,5
5609,1,M,73,185,No,right,3,3,28,6,,7,Planning,No,4,2128,Olympic,0,No,70,0,No,,Instagram,5
